Unnamed: 0,Month,Workingday,Temperature,Temp2,Humidity,Windspeed,Season_1,Season_2,Season_3,Season_4,Weathersit_1,Weathersit_2,Weathersit_3,Holiday_0,Weekday_0,Weekday_1,Weekday_2,Weekday_3,Weekday_4,Weekday_5,Weekday_6,Count
0,1,0,0.344167,0.363625,0.805833,0.160446,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,985
1,1,0,0.363478,0.353739,0.696087,0.248539,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,801
2,1,1,0.196364,0.189405,0.437273,0.248309,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1349
3,1,1,0.2,0.212122,0.590435,0.160296,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1562
4,1,1,0.226957,0.22927,0.436957,0.1869,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1600
5,1,1,0.204348,0.23320900000000006,0.518261,0.0895652,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1606
6,1,1,0.196522,0.208839,0.498696,0.168726,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1510
7,1,0,0.165,0.162254,0.535833,0.266804,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,959
8,1,0,0.13833299999999998,0.116175,0.434167,0.36195,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,822
9,1,1,0.150833,0.15088800000000002,0.482917,0.223267,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1321
10,1,1,0.16909100000000002,0.191464,0.6863640000000001,0.122132,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1263
11,1,1,0.172727,0.160473,0.599545,0.304627,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1162
12,1,1,0.165,0.150883,0.470417,0.301,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1406
13,1,1,0.16087,0.188413,0.537826,0.126548,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1421
14,1,0,0.233333,0.248112,0.49875,0.15796300000000002,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1248
15,1,0,0.231667,0.234217,0.48375,0.188433,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1204
16,1,0,0.175833,0.176771,0.5375,0.194017,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1000
17,1,1,0.216667,0.232333,0.861667,0.146775,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,683
18,1,1,0.292174,0.298422,0.741739,0.208317,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1650
19,1,1,0.261667,0.25505,0.538333,0.195904,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1927
20,1,1,0.1775,0.157833,0.457083,0.353242,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1543
21,1,0,0.0591304,0.0790696,0.4,0.17197,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,981
22,1,0,0.0965217,0.0988391,0.436522,0.2466,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,986
23,1,1,0.0973913,0.11793,0.491739,0.15833,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1416
24,1,1,0.223478,0.234526,0.616957,0.129796,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1985
25,1,1,0.2175,0.2036,0.8625,0.29385,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,506
26,1,1,0.195,0.2197,0.6875,0.113837,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,431
27,1,1,0.203478,0.223317,0.793043,0.1233,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1167
28,1,0,0.196522,0.212126,0.6517390000000001,0.14536500000000002,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1098
29,1,0,0.216522,0.250322,0.722174,0.0739826,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1096
30,1,1,0.180833,0.18625,0.60375,0.187192,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1501
31,2,1,0.192174,0.23453,0.829565,0.053213,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1360
32,2,1,0.26,0.254417,0.775417,0.264308,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1526
33,2,1,0.186957,0.177878,0.4378260000000001,0.277752,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1550
34,2,1,0.211304,0.228587,0.585217,0.127839,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1708
